019-20200725122119;S;0
050-20200725122617;S;0
023-20200725123018;S;0
075-20200725123401;P;1
099-20200725123819;S;0
048-20200725124259;P;4
061-20200725125138;S;0
077-20200725125559;S;0
015-20200725130028;P;2
047-20200725130416;S;0
043-20200725131633;S;0
056-20200725131935;P;1
017-20200725132344;P;1
029-20200725132804;P;1
025-20200725133532;S;0
039-20200725133921;S;0
098-20200725134228;P;2
013-20200725134601;P;5
064-20200725134905;P;1
038-20200725135240;S;0
034-20200725140757;P;1
067-20200725141055;P;3
072-20200725141406;P;3
066-20200725141716;S;0
004-20200725142014;P;3
002-20200725143255;P;4
002-20200725143255;P;3
069-20200725143717;S;0
062-20200725144014;P;1
040-20200725144311;P;8
012-20200725144923;P;2
059-20200725145222;P;1
024-20200725145658;S;0
032-20200725145949;P;1
007-20200725150536;P;2
095-20200725151204;P;3
021-20200725151446;P;1
019-20200725155505;P;3
023-20200725155834;P;4
075-20200725160157;P;3
048-20200725160902;S;0
087-20200725161506;P;4
015-20200725162629;P;3
034-20200725140757;C;1
043-20200725164137;S;0
017-20200725164852;P;3
029-20200725165348;S;0
025-20200725170116;S;0
030-20200725170440;P;1
030-20200725170744;P;10
098-20200725171122;P;2
013-20200725171428;P;1
038-20200725171903;S;0
038-20200725172533;P;3
014-20200725172851;P;1
097-20200725173539;P;4
034-20200725174049;S;0
067-20200725174422;P;1
072-20200725174730;P;3
066-20200725175039;P;1
004-20200725175340;P;1
026-20200725175649;S;0
003-20200725180006;P;1
090-20200725180256;P;2
062-20200725180931;P;4
069-20200725181259;P;1
040-20200725181608;P;1
020-20200725182848;S;0
024-20200725183147;P;1
068-20200725183732;P;2
007-20200725184027;P;1
086-20200725184325;P;5
095-20200725184619;P;1
021-20200725184858;P;5
